 ,OTT Name,Study ID,url
No.1,Apteryx australis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.2,Apteryx australis,ot_2018,https://tree.opentreeoflife.org/curator/study/view/ot_2018
No.3,Apteryx australis,pg_2800,https://tree.opentreeoflife.org/curator/study/view/pg_2800
No.4,Apteryx australis,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.5,Apteryx australis,ot_427,https://tree.opentreeoflife.org/curator/study/view/ot_427
No.6,Apteryx australis,pg_2580,https://tree.opentreeoflife.org/curator/study/view/pg_2580
No.7,Apteryx australis,ot_500,https://tree.opentreeoflife.org/curator/study/view/ot_500
No.8,Apteryx australis,ot_1044,https://tree.opentreeoflife.org/curator/study/view/ot_1044
No.9,Apteryx australis,ot_1055,https://tree.opentreeoflife.org/curator/study/view/ot_1055
No.10,Apteryx australis,ot_999,https://tree.opentreeoflife.org/curator/study/view/ot_999
No.11,Apteryx australis,ot_798,https://tree.opentreeoflife.org/curator/study/view/ot_798
No.12,Apteryx australis,pg_2926,https://tree.opentreeoflife.org/curator/study/view/pg_2926
No.13,Apteryx australis,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.14,Apteryx australis,ot_2083,https://tree.opentreeoflife.org/curator/study/view/ot_2083
No.15,Apteryx australis,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.16,Apteryx australis,ot_784,https://tree.opentreeoflife.org/curator/study/view/ot_784
No.17,Apteryx australis,ot_2072,https://tree.opentreeoflife.org/curator/study/view/ot_2072
No.18,Apteryx australis,pg_2876,https://tree.opentreeoflife.org/curator/study/view/pg_2876
No.19,Apteryx australis,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.20,Apteryx australis,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.21,Apteryx australis,ot_531,https://tree.opentreeoflife.org/curator/study/view/ot_531
No.22,Apteryx australis australis,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.23,Apteryx mantelli,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.24,Apteryx australis mantelli,ot_500,https://tree.opentreeoflife.org/curator/study/view/ot_500
No.25,Apteryx australis mantelli,ot_2018,https://tree.opentreeoflife.org/curator/study/view/ot_2018
No.26,Apteryx australis mantelli,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.27,Apteryx australis mantelli,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.28,Apteryx australis mantelli,ot_1044,https://tree.opentreeoflife.org/curator/study/view/ot_1044
No.29,Apteryx australis mantelli,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.30,Apteryx australis mantelli,pg_2926,https://tree.opentreeoflife.org/curator/study/view/pg_2926
No.31,Apteryx australis mantelli,ot_2083,https://tree.opentreeoflife.org/curator/study/view/ot_2083
No.32,Spatula cyanoptera,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.33,Anas cyanoptera cyanoptera,pg_2860,https://tree.opentreeoflife.org/curator/study/view/pg_2860
No.34,Anas cyanoptera cyanoptera,pg_2866,https://tree.opentreeoflife.org/curator/study/view/pg_2866
No.35,Anas andium,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.36,Anas flavirostris andium,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.37,Anas flavirostris andium,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.38,Anas flavirostris,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.39,Anas flavirostris,pg_2860,https://tree.opentreeoflife.org/curator/study/view/pg_2860
No.40,Anas flavirostris,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.41,Anas flavirostris,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.42,Anas flavirostris,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.43,Anas flavirostris,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.44,Anas flavirostris,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.45,Anas flavirostris,pg_2583,https://tree.opentreeoflife.org/curator/study/view/pg_2583
No.46,Anas flavirostris,pg_2866,https://tree.opentreeoflife.org/curator/study/view/pg_2866
No.47,Anas flavirostris flavirostris,pg_2866,https://tree.opentreeoflife.org/curator/study/view/pg_2866
No.48,Bambusicola thoracicus,ot_116,https://tree.opentreeoflife.org/curator/study/view/ot_116
No.49,Bambusicola thoracicus,ot_791,https://tree.opentreeoflife.org/curator/study/view/ot_791
No.50,Bambusicola thoracicus,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.51,Bambusicola thoracicus,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.52,Bambusicola thoracicus,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.53,Bambusicola thoracicus,ot_2018,https://tree.opentreeoflife.org/curator/study/view/ot_2018
No.54,Bambusicola thoracicus,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.55,Bambusicola thoracicus,pg_2802,https://tree.opentreeoflife.org/curator/study/view/pg_2802
No.56,Bambusicola thoracicus,pg_2583,https://tree.opentreeoflife.org/curator/study/view/pg_2583
No.57,Bambusicola thoracicus,ot_753,https://tree.opentreeoflife.org/curator/study/view/ot_753
No.58,Bambusicola thoracicus,pg_2577,https://tree.opentreeoflife.org/curator/study/view/pg_2577
No.59,Bambusicola thoracicus,ot_2072,https://tree.opentreeoflife.org/curator/study/view/ot_2072
No.60,Bambusicola thoracicus,pg_2804,https://tree.opentreeoflife.org/curator/study/view/pg_2804
No.61,Bambusicola thoracicus,ot_1002,https://tree.opentreeoflife.org/curator/study/view/ot_1002
No.62,Bambusicola thoracicus,ot_425,https://tree.opentreeoflife.org/curator/study/view/ot_425
No.63,Bambusicola thoracicus,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.64,Bambusicola thoracicus thoracicus,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.65,Bambusicola sonorivox,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.66,Bambusicola thoracicus sonorivox,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.67,Pternistis castaneicollis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.68,Francolinus castaneicollis castaneicollis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.69,Pternistis atrifrons,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.70,Francolinus castaneicollis atrifrons,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.71,Chaetura andrei,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.72,Chaetura andrei,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.73,Chaetura andrei,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.74,Chaetura meridionalis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.75,Chaetura andrei meridionalis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.76,Chaetura andrei meridionalis,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.77,Phaethornis longirostris,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.78,Phaethornis longirostris,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.79,Phaethornis longirostris,pg_2658,https://tree.opentreeoflife.org/curator/study/view/pg_2658
No.80,Phaethornis longirostris,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.81,Phaethornis longirostris,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.82,Phaethornis longirostris,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.83,Phaethornis longirostris,pg_2853,https://tree.opentreeoflife.org/curator/study/view/pg_2853
No.84,Phaethornis longirostris,ot_427,https://tree.opentreeoflife.org/curator/study/view/ot_427
No.85,Phaethornis longirostris,pg_2865,https://tree.opentreeoflife.org/curator/study/view/pg_2865
No.86,Phaethornis longirostris longirostris,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.87,Phaethornis mexicanus,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.88,Phaethornis longirostris mexicanus,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.89,Phaethornis longirostris mexicanus,pg_2853,https://tree.opentreeoflife.org/curator/study/view/pg_2853
No.90,Phaethornis longirostris mexicanus,pg_2865,https://tree.opentreeoflife.org/curator/study/view/pg_2865
No.91,Gallinula nesiotis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.92,Gallinula nesiotis,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.93,Gallinula nesiotis,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.94,Gallinula nesiotis,ot_2097,https://tree.opentreeoflife.org/curator/study/view/ot_2097
No.95,Gallinula nesiotis,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.96,Gallinula nesiotis,ot_865,https://tree.opentreeoflife.org/curator/study/view/ot_865
No.97,Gallinula nesiotis,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.98,Gallinula nesiotis,ot_427,https://tree.opentreeoflife.org/curator/study/view/ot_427
No.99,Gallinula nesiotis nesiotis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.100,Gallinula comeri,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.101,Gallinula nesiotis comeri,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.102,Himantopus himantopus,ot_2008,https://tree.opentreeoflife.org/curator/study/view/ot_2008
No.103,Himantopus himantopus,pg_2419,https://tree.opentreeoflife.org/curator/study/view/pg_2419
No.104,Himantopus himantopus,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.105,Himantopus himantopus,ot_2141,https://tree.opentreeoflife.org/curator/study/view/ot_2141
No.106,Himantopus himantopus,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.107,Himantopus himantopus,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.108,Himantopus himantopus,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.109,Himantopus himantopus,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.110,Himantopus himantopus,ot_427,https://tree.opentreeoflife.org/curator/study/view/ot_427
No.111,Himantopus himantopus himantopus,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.112,Himantopus leucocephalus,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.113,Himantopus himantopus leucocephalus,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.114,Himantopus himantopus leucocephalus,ot_2141,https://tree.opentreeoflife.org/curator/study/view/ot_2141
No.115,Himantopus himantopus leucocephalus,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.116,Himantopus himantopus leucocephalus,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.117,Haematopus chathamensis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.118,Haematopus unicolor chathamensis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.119,Haematopus unicolor chathamensis,ot_2141,https://tree.opentreeoflife.org/curator/study/view/ot_2141
No.120,Haematopus unicolor chathamensis,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.121,Haematopus unicolor chathamensis,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.122,Haematopus unicolor,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.123,Haematopus unicolor,ot_2141,https://tree.opentreeoflife.org/curator/study/view/ot_2141
No.124,Haematopus unicolor,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.125,Haematopus unicolor,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.126,Haematopus unicolor,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.127,Haematopus unicolor,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.128,Haematopus unicolor,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.129,Haematopus unicolor,ot_427,https://tree.opentreeoflife.org/curator/study/view/ot_427
No.130,Haematopus unicolor unicolor,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.131,Rostratula benghalensis,ot_1055,https://tree.opentreeoflife.org/curator/study/view/ot_1055
No.132,Rostratula benghalensis,ot_2018,https://tree.opentreeoflife.org/curator/study/view/ot_2018
No.133,Rostratula benghalensis,ot_2141,https://tree.opentreeoflife.org/curator/study/view/ot_2141
No.134,Rostratula benghalensis,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.135,Rostratula benghalensis,ot_500,https://tree.opentreeoflife.org/curator/study/view/ot_500
No.136,Rostratula benghalensis,pg_438,https://tree.opentreeoflife.org/curator/study/view/pg_438
No.137,Rostratula benghalensis,ot_531,https://tree.opentreeoflife.org/curator/study/view/ot_531
No.138,Rostratula benghalensis,ot_136,https://tree.opentreeoflife.org/curator/study/view/ot_136
No.139,Rostratula benghalensis,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.140,Rostratula benghalensis,ot_816,https://tree.opentreeoflife.org/curator/study/view/ot_816
No.141,Rostratula benghalensis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.142,Rostratula benghalensis,ot_521,https://tree.opentreeoflife.org/curator/study/view/ot_521
No.143,Rostratula benghalensis,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.144,Rostratula benghalensis,ot_427,https://tree.opentreeoflife.org/curator/study/view/ot_427
No.145,Rostratula benghalensis,ot_784,https://tree.opentreeoflife.org/curator/study/view/ot_784
No.146,Rostratula benghalensis benghalensis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.147,Rostratula australis,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.148,Rostratula benghalensis australis,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
No.149,Rostratula benghalensis australis,ot_2141,https://tree.opentreeoflife.org/curator/study/view/ot_2141
No.150,Rostratula benghalensis australis,ot_429,https://tree.opentreeoflife.org/curator/study/view/ot_429
No.151,Rostratula benghalensis australis,ot_809,https://tree.opentreeoflife.org/curator/study/view/ot_809
No.152,Rostratula benghalensis australis,ot_409,https://tree.opentreeoflife.org/curator/study/view/ot_409
No.153,Coenocorypha huegeli,Search Manually for Tree,https://tree.opentreeoflife.org/curator/study/view/Search Manually for Tree
No.154,Coenocorypha aucklandica huegeli,ot_2019,https://tree.opentreeoflife.org/curator/study/view/ot_2019
